sensorName,lat,long,transmitDateTime,CO,NO2,NH3,TDS,turbidity
dummy,47.65637,-122.30964,2025-03-17 14:14:08,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:14:37,4.448761,0.722578,0.148979,157.555420,3.456218
dummy,47.65637,-122.30964,2025-03-17 14:14:38,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:14:52,4.445619,0.724161,0.148979,157.506897,3.454861
dummy,47.65637,-122.30964,2025-03-17 14:14:53,0.00,1.00,0.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-17 14:15:08,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:15:20,4.441913,0.725028,0.149308,157.652420,3.455675
dummy,47.65637,-122.30964,2025-03-17 14:15:23,0.00,1.00,0.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-17 14:15:38,0.00,1.00,0.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-17 14:15:53,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:16:04,4.438772,0.712902,0.148979,157.506866,3.456353
dummy,47.65637,-122.30964,2025-03-17 14:16:08,0.00,1.00,0.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-17 14:16:23,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:16:32,4.445620,0.721093,0.149045,157.361267,3.456353
dummy,47.65637,-122.30964,2025-03-17 14:16:38,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:16:47,4.445055,0.719705,0.149160,157.409744,3.455811
dummy,47.65637,-122.30964,2025-03-17 14:16:53,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:17:01,4.451338,0.715337,0.149160,157.312775,3.456218
dummy,47.65637,-122.30964,2025-03-17 14:17:08,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:17:16,4.444536,0.723744,0.149078,157.264221,3.457031
dummy,47.65637,-122.30964,2025-03-17 14:17:23,0.00,1.00,0.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-17 14:17:38,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:17:44,4.438772,0.728175,0.149193,157.264236,3.457031
dummy,47.65637,-122.30964,2025-03-17 14:17:53,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:17:59,4.447677,0.724991,0.149110,157.118622,3.456082
dummy,47.65637,-122.30964,2025-03-17 14:18:08,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:18:13,4.441914,0.725357,0.149176,157.312744,3.455811
dummy,47.65637,-122.30964,2025-03-17 14:18:23,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:18:28,4.441913,0.725318,0.149341,157.361267,3.456760
dummy,47.65637,-122.30964,2025-03-17 14:18:38,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:18:42,4.442478,0.725594,0.149078,157.264236,3.455675
dummy,47.65637,-122.30964,2025-03-17 14:18:53,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:18:56,4.445055,0.724252,0.149325,157.361267,3.454454
dummy,47.65637,-122.30964,2025-03-17 14:19:08,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:19:11,4.445090,0.722410,0.149193,157.021454,3.457303
dummy,47.65637,-122.30964,2025-03-17 14:19:23,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:19:25,4.444536,0.723858,0.149045,157.215683,3.456353
dummy,47.65637,-122.30964,2025-03-17 14:19:38,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:19:40,4.438772,0.719516,0.149193,157.021515,3.457438
dummy,47.65637,-122.30964,2025-03-17 14:19:53,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:19:54,4.448196,0.731394,0.149045,157.264236,3.455946
dummy,47.65637,-122.30964,2025-03-17 14:20:08,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:20:37,4.435631,0.724161,0.149441,157.264236,3.455539
dummy,47.65637,-122.30964,2025-03-17 14:20:38,0.00,1.00,0.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-17 14:20:53,0.00,1.00,0.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-17 14:21:08,0.00,1.00,0.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-17 14:21:23,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:21:35,4.432489,0.722105,0.149127,157.215637,3.457303
dummy,47.65637,-122.30964,2025-03-17 14:21:38,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:21:49,4.451338,0.729382,0.149061,157.069931,3.456896
dummy,47.65637,-122.30964,2025-03-17 14:21:53,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:22:04,4.445055,0.728100,0.149259,157.264221,3.456489
dummy,47.65637,-122.30964,2025-03-17 14:22:08,0.00,1.00,0.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-17 14:22:40,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:22:47,4.441913,0.728379,0.149423,157.215637,3.454319
dummy,47.65637,-122.30964,2025-03-17 14:22:53,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:23:01,4.445055,0.716848,0.149077,157.118591,3.457303
dummy,47.65637,-122.30964,2025-03-17 14:23:08,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:23:16,4.448196,0.722487,0.149193,157.361298,3.455811
dummy,47.65637,-122.30964,2025-03-17 14:23:23,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:23:30,4.435631,0.714215,0.149324,157.312775,3.455675
dummy,47.65637,-122.30964,2025-03-17 14:23:38,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:23:44,4.451338,0.721039,0.149226,157.215637,3.457031
dummy,47.65637,-122.30964,2025-03-17 14:23:53,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:23:59,4.450819,0.726731,0.148979,157.215652,3.457574
prototype,47.653132,-122.306114,2025-03-17 14:24:13,4.448196,0.732405,0.149474,157.312759,3.456218
dummy,47.65637,-122.30964,2025-03-17 14:24:23,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:24:28,4.435631,0.723984,0.149292,157.361282,3.455675
dummy,47.65637,-122.30964,2025-03-17 14:24:39,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:24:43,4.445055,0.713393,0.149143,157.215652,3.457845
dummy,47.65637,-122.30964,2025-03-17 14:24:54,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:24:57,4.445055,0.728258,0.149226,157.555252,3.457031
dummy,47.65637,-122.30964,2025-03-17 14:25:24,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:25:26,4.435701,0.723912,0.149193,157.409836,3.455132
dummy,47.65637,-122.30964,2025-03-17 14:25:39,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:25:41,4.451338,0.720887,0.149110,157.264221,3.454319
dummy,47.65637,-122.30964,2025-03-17 14:25:54,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:25:55,4.445055,0.729303,0.149308,157.506866,3.456624
dummy,47.65637,-122.30964,2025-03-17 14:26:09,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:26:24,4.441913,0.722463,0.149078,157.167130,3.456218
prototype,47.653132,-122.306114,2025-03-17 14:26:38,4.445055,0.715366,0.149045,157.458328,3.458388
dummy,47.65637,-122.30964,2025-03-17 14:26:39,0.00,1.00,0.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-17 14:26:54,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:27:07,4.441394,0.733686,0.149275,157.264221,3.454454
dummy,47.65637,-122.30964,2025-03-17 14:27:09,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:27:21,4.451338,0.733608,0.149291,157.409805,3.453776
prototype,47.653132,-122.306114,2025-03-17 14:27:36,4.454479,0.726613,0.149012,157.118591,3.456624
dummy,47.65637,-122.30964,2025-03-17 14:27:39,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:27:50,4.448196,0.723912,0.149210,157.215637,3.456082
dummy,47.65637,-122.30964,2025-03-17 14:27:54,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:28:05,4.448196,0.716688,0.149176,157.506897,3.456760
dummy,47.65637,-122.30964,2025-03-17 14:28:09,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:28:19,4.448196,0.726523,0.149275,157.167145,3.454997
dummy,47.65637,-122.30964,2025-03-17 14:28:24,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:28:33,4.442513,0.732288,0.149324,157.458282,3.456082
dummy,47.65637,-122.30964,2025-03-17 14:28:39,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:28:48,4.444536,0.729455,0.149423,157.264191,3.453912
dummy,47.65637,-122.30964,2025-03-17 14:28:54,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:29:02,4.445055,0.727816,0.149341,157.506805,3.455268
dummy,47.65637,-122.30964,2025-03-17 14:29:09,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:29:17,4.457621,0.716814,0.149028,157.603943,3.457709
dummy,47.65637,-122.30964,2025-03-17 14:29:24,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:29:31,4.441913,0.712772,0.149143,157.458359,3.456082
dummy,47.65637,-122.30964,2025-03-17 14:29:39,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:29:45,4.448760,0.723950,0.149193,157.264191,3.455268
dummy,47.65637,-122.30964,2025-03-17 14:29:54,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:30:00,4.438772,0.729431,0.149374,157.458374,3.454319
prototype,47.653132,-122.306114,2025-03-17 14:30:14,4.448196,0.723950,0.149325,157.652435,3.455404
dummy,47.65637,-122.30964,2025-03-17 14:30:24,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:30:28,4.448196,0.725534,0.149061,157.409805,3.456624
dummy,47.65637,-122.30964,2025-03-17 14:30:39,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:30:43,4.448196,0.728062,0.149210,157.458313,3.457031
prototype,47.653132,-122.306114,2025-03-17 14:30:59,4.448196,0.726676,0.149209,157.215683,3.456353
dummy,47.65637,-122.30964,2025-03-17 14:31:08,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:31:11,4.445055,0.728138,0.149258,157.506882,3.455675
dummy,47.65637,-122.30964,2025-03-17 14:31:23,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:31:26,4.448196,0.728100,0.149143,157.700928,3.456896
prototype,47.653132,-122.306114,2025-03-17 14:31:40,4.441914,0.721054,0.149391,157.700974,3.455946
dummy,47.65637,-122.30964,2025-03-17 14:31:53,0.00,1.00,0.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-17 14:32:08,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:32:09,4.438772,0.715570,0.149078,157.409836,3.457167
dummy,47.65637,-122.30964,2025-03-17 14:32:23,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:32:38,4.445055,0.715608,0.149110,157.312775,3.457845
dummy,47.65637,-122.30964,2025-03-17 14:32:39,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:32:52,4.445055,0.733817,0.149160,157.458359,3.457845
dummy,47.65637,-122.30964,2025-03-17 14:32:53,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:33:06,4.448196,0.722677,0.149242,157.361267,3.456489
prototype,47.653132,-122.306114,2025-03-17 14:33:21,4.441914,0.725153,0.149424,157.894867,3.456218
dummy,47.65637,-122.30964,2025-03-17 14:33:23,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:33:35,4.435631,0.722485,0.149291,157.652390,3.455811
dummy,47.65637,-122.30964,2025-03-17 14:33:39,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:33:51,4.451902,0.731898,0.149094,157.361267,3.456624
dummy,47.65637,-122.30964,2025-03-17 14:33:54,0.00,1.00,0.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-17 14:34:09,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:34:19,4.448196,0.720925,0.149225,157.312759,3.454997
dummy,47.65637,-122.30964,2025-03-17 14:34:24,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:34:34,4.448761,0.727992,0.149160,157.555359,3.456489
dummy,47.65637,-122.30964,2025-03-17 14:34:39,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:34:48,4.438772,0.732540,0.149341,157.749420,3.455404
dummy,47.65637,-122.30964,2025-03-17 14:34:54,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:35:03,4.445055,0.733028,0.149374,157.846268,3.455132
dummy,47.65637,-122.30964,2025-03-17 14:35:09,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:35:17,4.448196,0.726729,0.149225,157.943054,3.456760
dummy,47.65637,-122.30964,2025-03-17 14:35:24,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:35:31,4.445055,0.721131,0.149226,157.506866,3.455675
dummy,47.65637,-122.30964,2025-03-17 14:35:39,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:35:46,4.441913,0.728100,0.149341,157.458313,3.457031
dummy,47.65637,-122.30964,2025-03-17 14:35:54,0.00,1.00,0.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-17 14:36:00,4.448196,0.723896,0.149258,157.458282,3.456489
