SensorName,Lat,Long,TransmitDate,TransmitHour,CO,NH3,NO2
42,45.0,32.0,02-09-2025,19:00,4.378176,0.658099,0.159941
37,45.0,64.0,02-09-2025,19:01,4.357797,0.624009,0.184784
