sensorName,lat,long,transmitDateTime,CO,NH3,NO2,TDS,turbidity
Union Bay,47.65319212,-122.3067571,2025-02-26 14:00:00,4.317324,0.673762,-0.213216,,
The Quad,47.6569545,-122.3078511,2025-02-18 09:00:00,3.90549,0.830696,-0.333135,,
Sylvan Grove,47.65319212,-122.3067571,2025-02-25 13:25:00,4.317324,0.673762,-0.213216,,
Arboretum,47.65810245,-122.2987361,2025-02-18 08:00:00,4.020753,0.612069,0.107515,,
