sensorName,lat,long,transmitDateTime,CO,NO2,NH3,TDS,turbidity
prototype,47.653133,-122.306114,2025-02-26 22:51:48,4.385000,0.516694,56.389854
prototype,47.653133,-122.306114,2025-02-26 23:03:49,4.378191,0.492085,56.874882
prototype,47.653133,-122.306114,2025-02-26 23:15:49,4.385000,0.486698,56.874882
prototype,47.653133,-122.306114,2025-02-26 23:27:49,4.378191,0.484015,56.389854
prototype,47.653133,-122.306114,2025-02-26 23:39:49,4.378191,0.470713,57.844032
prototype,47.653133,-122.306114,2025-02-26 23:51:48,4.385000,0.481340,57.844032
prototype,47.653133,-122.306114,2025-02-27 00:03:48,4.385000,0.486698,57.359608
prototype,47.653133,-122.306114,2025-02-27 00:15:48,4.378191,0.489388,57.359608
prototype,47.653133,-122.306114,2025-02-27 00:27:48,4.378191,0.484015,58.811996
prototype,47.653133,-122.306114,2025-02-27 00:39:48,4.371396,0.476012,57.844032
prototype,47.653133,-122.306114,2025-02-27 00:51:48,4.378191,0.476012,57.844032
prototype,47.653133,-122.306114,2025-02-27 01:03:48,4.371396,0.454992,57.359608
prototype,47.653133,-122.306114,2025-02-27 01:27:49,4.378191,0.460203,57.359608
prototype,47.653133,-122.306114,2025-02-27 01:39:49,4.378191,0.447231,58.328163
prototype,47.653133,-122.306114,2025-02-27 01:51:49,4.378191,0.454992,58.328163
prototype,47.653133,-122.306114,2025-02-27 02:03:49,4.378191,0.454992,57.844032
prototype,47.653133,-122.306114,2025-02-27 02:15:49,4.378191,0.452398,57.359608
prototype,47.653133,-122.306114,2025-02-27 02:27:49,4.371396,0.449811,57.844032
prototype,47.653133,-122.306114,2025-02-27 02:39:49,4.378191,0.454992,58.811996
prototype,47.653133,-122.306114,2025-02-27 02:51:49,4.378191,0.454992,58.328163
prototype,47.653133,-122.306114,2025-02-27 03:03:49,4.378191,0.449811,58.811996
prototype,47.653133,-122.306114,2025-02-27 03:15:50,4.378191,0.444658,58.328163
prototype,47.653133,-122.306114,2025-02-27 03:27:50,4.371396,0.444658,58.328163
prototype,47.653133,-122.306114,2025-02-27 03:39:50,4.371396,0.439535,58.328163
prototype,47.653133,-122.306114,2025-02-27 03:51:50,4.371396,0.431906,58.328163
prototype,47.653133,-122.306114,2025-02-27 04:03:50,4.371396,0.434442,58.328163
prototype,47.653133,-122.306114,2025-02-27 04:15:49,4.371396,0.454992,59.778774
prototype,47.653133,-122.306114,2025-02-27 04:27:49,4.378191,0.436985,58.811996
prototype,47.653133,-122.306114,2025-02-27 04:39:49,4.371396,0.439535,58.811996
prototype,47.653133,-122.306114,2025-02-27 04:51:49,4.371396,0.436985,58.328163
prototype,47.653133,-122.306114,2025-02-27 05:03:49,4.378191,0.444658,58.811996
prototype,47.653133,-122.306114,2025-02-27 05:15:50,4.371396,0.439535,59.295532
prototype,47.653133,-122.306114,2025-02-27 05:27:50,4.378191,0.436985,59.778774
prototype,47.653133,-122.306114,2025-02-27 05:39:50,4.378191,0.436985,59.295532
prototype,47.653133,-122.306114,2025-02-27 05:51:50,4.378191,0.442093,58.811996
prototype,47.653133,-122.306114,2025-02-27 06:03:50,4.371396,0.434442,58.811996
prototype,47.653133,-122.306114,2025-02-27 06:15:50,4.371396,0.439535,59.295532
prototype,47.653133,-122.306114,2025-02-27 06:27:50,4.364615,0.442093,58.811996
prototype,47.653133,-122.306114,2025-02-27 06:39:50,4.371396,0.429377,59.295532
prototype,47.653133,-122.306114,2025-02-27 06:51:50,4.371396,0.431906,59.778774
prototype,47.653133,-122.306114,2025-02-27 07:03:50,4.364615,0.439535,60.261723
prototype,47.653133,-122.306114,2025-02-27 07:15:51,4.371396,0.421835,59.295532
prototype,47.653133,-122.306114,2025-02-27 07:27:51,4.371396,0.429377,59.778774
prototype,47.653133,-122.306114,2025-02-27 07:39:51,4.371396,0.434442,59.295532
prototype,47.653133,-122.306114,2025-02-27 07:51:51,4.371396,0.431906,60.261723
prototype,47.653133,-122.306114,2025-02-27 08:03:51,4.371396,0.426856,59.778774
prototype,47.653133,-122.306114,2025-02-27 08:15:51,4.371396,0.434442,60.261723
prototype,47.653133,-122.306114,2025-02-27 08:27:51,4.371396,0.434442,59.778774
prototype,47.653133,-122.306114,2025-02-27 08:39:51,4.371396,0.442093,60.261723
prototype,47.653133,-122.306114,2025-02-27 08:51:50,4.371396,0.442093,60.261723
prototype,47.653133,-122.306114,2025-02-27 09:03:50,4.371396,0.434442,60.261723
prototype,47.653133,-122.306114,2025-02-27 09:15:50,4.371396,0.442093,60.261723
prototype,47.653133,-122.306114,2025-02-27 09:27:51,4.371396,0.439535,61.226738
prototype,47.653133,-122.306114,2025-02-27 09:39:51,4.371396,0.447231,60.744377
prototype,47.653133,-122.306114,2025-02-27 09:51:51,4.371396,0.454992,61.226738
prototype,47.653133,-122.306114,2025-02-27 10:03:51,4.378191,0.454992,61.226738
prototype,47.653133,-122.306114,2025-02-27 10:15:51,4.371396,0.454992,59.778774
prototype,47.653133,-122.306114,2025-02-27 10:27:51,4.371396,0.449811,60.744377
prototype,47.653133,-122.306114,2025-02-27 10:39:51,4.371396,0.434442,60.261723
